TF,TargetGene,Tissue,chea,signor,trrust,Experiment
FOXA1,HADHB,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
DEX,HADHB,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2"
REST,HADHB,stemcells,,,,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
CTCF,HADHB,hspcs,,,,"CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - HSPCs, Rep 2"
YY1,HADHB,liver,,,,YY1 IP - HepG2 cells
E2F1,HADHB,prostate,,,,"HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 1"
HES6,HADHB,prostate,,,,HES6 OE | E2F1 ChIP-Seq - Rep 1
MYB,HADHB,leukocytes,,,,"MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 5, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 2"
CTCF,HADHB,liver,,,,"CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP, CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells "
FOXA1,HADHB,liver,,,,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1"
CEBPA,HADHB,leukocytes,,,,"CEBPA IP - U-937 cells, Rep 2 , CEBPA IP - U-937 cells, Rep 1 "
CTCF,HADHB,kidney,,,,"CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 "
MAX,HADHB,liver,,,,"MAX IP - HepG2 cells, MAX IP - MCF7 cells, MAX IP - HepG2 cells"
CREB1,HADHB,lung,,,,CREB1 IP | DEX - A549 cells
DEX,HADHB,lung,,,,"CREB1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells, USF1 IP | DEX - A549 cells"
MAX,HADHB,stemcells,,,,"MAX IP - H1 cells, MAX IP - H1 cells"
CTCF,HADHB,skin,,,,"CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 "
GLI2,HADHB,colon,,,,GLI2 IP 
MAZ,HADHB,liver,,,,MAZ IP - HepG2 cells
FOXA2,HADHB,stemcells,,,,"FOXA2 IP - ES D2, FOXA2 IP - ES D7"
PAX5,HADHB,leukocytes,,,,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12878 cells, Rep 2"
RBPJ,HADHB,leukocytes,,,,RBPJ IP | COMPE - wash
COMPE,HADHB,leukocytes,,,,RBPJ IP | COMPE - wash
CTCF,HADHB,vasculature,,,,"CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 "
HOXA6,HADHB,colon,,,,HOXA6 IP 
ETS1,HADHB,leukocytes,,,,"ETS1 IP - K562 cells, ETS1 IP"
CTCF,HADHB,mammarygland,,,,"CTCF IP - MCF7 cells, CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells, Rep 1 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 "
JUND,HADHB,liver,,,,JUND IP - HepG2 cells
USF1,HADHB,leukocytes,,,,"USF1 IP - K562 cells, USF1 IP - GM12878 cells"
MAX,HADHB,uterus,,,,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
CTCF,HADHB,heart,,,,"CTCF IP - HCF cells , CTCF IP - myocytes cells, Rep 1 , CTCF IP - myocytes cells, Rep 2 "
SP1,HADHB,colon,,,,SP1 IP - HCT116 cells
GABPA,HADHB,prostate,,,,"GABPA IP - Rep 1, GABPA IP | R1881"
E2F1,HADHB,mammarygland,,,,"E2F1 IP - MCF7 cells, E2F1 IP"
USF1,HADHB,liver,,,,USF1 IP - HepG2 cells
ELF1,HADHB,leukocytes,,,,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
MYC,HADHB,mammarygland,,,,"MYC IP | 4HT - MCF10A cells, DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells, MYC IP"
MYC,HADHB,liver,,,,MYC IP
DHT,HADHB,mammarygland,,,,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq"
EGR1,HADHB,liver,,,,EGR1 IP - MCF7 cells
GATA3,HADHB,lung,,,,GATA3 IP - A549 cells
CEBPB,HADHB,leukocytes,,,,"CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP - K562 cells, CEBPB ChIP-Seq - K562, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP"
BATF,HADHB,leukocytes,,,,BATF IP - GM12878 cells
ROSI,HADHB,leukocytes,,,,ROSI | SPI1 ChIP-Seq
CREB1,HADHB,liver,,,,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP"
CEBPB,HADHB,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
IRF1,HADHB,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h"
IFNG,HADHB,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2"
FOXA1,HADHB,lung,,,,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
ZBTB17,HADHB,bone,,,,ZBTB17 IP
STAT3,HADHB,stemcells,,,,"STAT3 IP - Rep 2 , STAT3 IP - Rep 3 , STAT3 IP - Rep 1 "
FOS,HADHB,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 36 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
ELF3,HADHB,pancreas,,,,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP"
MYBL2,HADHB,liver,,,,MYBL2 IP - HepG2 cells
SOX9,HADHB,colon,,,,SOX9 IP 
ZNF280D,HADHB,colon,,,,ZNF280D IP 
TP63,HADHB,skin,,,,"TP63 IP, TP63 IP"
HIF1A,HADHB,bone,,,,HIF1A IP
TBP,HADHB,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
CTCF,HADHB,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 2 , CTCF IP - AG09319 cells, Rep 1 "
CEBPB,HADHB,liver,,,,"CEBPB ChIP-Seq - HepG2, CEBPB IP - HepG2 cells, CEBPB IP | FORSK - HepG2 cells"
USF1,HADHB,lung,,,,"USF1 IP - A549 cells, Rep 2, USF1 IP - A549 cells, Rep 1, USF1 IP | DEX - A549 cells"
FOSL2,HADHB,lung,,,,FOSL2 IP - A549 cells
JUND,HADHB,cns,,,,JUND IP - SK-N-SH cells 
GABPA,HADHB,liver,,,,"GABPA IP - MCF7 cells, GABPA IP - HepG2 cells"
MAX,HADHB,leukocytes,,,,"MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, Rep 1, MAX IP - GM12878 cells, MAX IP - K562 cells"
BHLHE40,HADHB,leukocytes,,,,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
MXI1,HADHB,liver,,,,MXI1 IP - HepG2 cells
CREB1,HADHB,leukocytes,,,,"CREB1 IP - GM12878 cells, CREB1 IP - K562 cells"
FOXA2,HADHB,liver,,,,FOXA2 IP - HepG2 cells
NFKB1,HADHB,leukocytes,,,,"NFKB1 IP - Rep 2, NFKB1 IP - Rep 1"
ETV5,HADHB,colon,,,,ETV5 IP 
ZEB1,HADHB,liver,,,,ZEB1 IP - HepG2 cells
RUNX1,HADHB,hspcs,,,,RUNX1
JUN,HADHB,mammarygland,,,,JUN IP - Rep 1
CEBPB,HADHB,mammarygland,,,,CEBPB IP - MCF7 cells
ZBTB7A,HADHB,uterus,,,,ZBTB7A IP - ECC1 cells
CTCF,HADHB,sensory,,,,"CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI "
IRF4,HADHB,leukocytes,,,,"IRF4 IP, IRF4 IP - GM12878 cells"
FOXM1,HADHB,mammarygland,,,,"FOXM1 IP - DS005, FOXM1 IP | THSP - DS006"
REST,HADHB,pancreas,,,,"REST IP - PANC1 cells, Rep 2, REST IP - Panc1 cells, Rep 3, REST IP - PANC1 cells, Rep 1"
JUND,HADHB,leukocytes,,,,JUND IP - K562 cells
YY1,HADHB,lung,,,,YY1 IP - A549 cells
GATA2,HADHB,hspcs,,,,GATA2 IP
E2F4,HADHB,mammarygland,,,,E2F4 IP | 4HT - MCF10 cells
STAT3,HADHB,leukocytes,,,,"STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-2, STAT3 IP - U-2932"
MAX,HADHB,lung,,,,"MAX IP - A549 cells, MAX IP - A549 cells"
TAL1,HADHB,colon,,,,TAL1 IP 
GATA2,HADHB,leukocytes,,,,GATA2 IP - K562 cells
KLF11,HADHB,adiposetissue,,,,"KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
SRF,HADHB,leukocytes,,,,"SRF IP - GM12878 cells, Rep 2"
GABPA,HADHB,cns,,,,GABPA IP - SK-N-SH cells
GATA4,HADHB,stomach,,,,GATA4 IP - AGS
TBP,HADHB,stemcells,,,,TBP IP - H1 cells
TP53,HADHB,lung,,,,"TP53 IP - propapoptic, Rep 1"
GTF2F1,HADHB,leukocytes,,,,GTF2F1 IP - K562 cells
TP53,HADHB,mammarygland,,,,"TP53 IP, TP53 IP | NUTL3 - MCF-7"
REST,HADHB,liver,,,,"REST IP - HepG2 cells, Rep 1, REST IP - HepG2 cells, Rep 2"
CREB1,HADHB,colon,,,,CREB1 IP 
USF1,HADHB,cns,,,,"USF1 IP - SK-N-SH cells, USF1 IP | ATRA - SK-N-SH cells"
MXI1,HADHB,lung,,,,MXI1 IP - IMR cells
BAY082,HADHB,leukocytes,,,,"RELA IP | BAY082  - IVD Th1 cells, PIA"
OTX2,HADHB,stemcells,,,,OTX2 IP - Rep 10 
RELA,HADHB,adiposetissue,,,,"RELA IP, RELA IP"
ZEB1,HADHB,leukocytes,,,,ZEB1 IP - GM12878 cells
HEY1,HADHB,leukocytes,,,,HEY1 IP - K562 cells
FOXA1,HADHB,pancreas,,,,FOXA1 IP | KLF5 KO
KLF5,HADHB,pancreas,,,,"FOXA1 IP | KLF5 KO, ELF3 IP | KLF5 KO, KLF5 IP"
FOXP1,HADHB,prostate,,,,"FOXP1 ChIP-Seq, DHT | FOXP1 ChIP-Seq"
EGR1,HADHB,uterus,,,,EGR1 IP - ECC1 cells
JUND,HADHB,colon,,,,JUND IP - HCT116 cells
SRF,HADHB,colon,,,,SRF IP - HCT116 cells
TEAD4,HADHB,leukocytes,,,,TEAD4 IP - K562 cells
TBP,HADHB,liver,,,,TBP IP - HepG2 cells
17BE2,HADHB,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
GABPA,HADHB,leukocytes,,,,"GABPA IP - Jurkat, Rep 2, GABPA IP"
REST,HADHB,cns,,,,"REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK-N-SH cells"
GATA1,HADHB,leukocytes,,,,GATA1 ChIP-Seq - K562
ZNF84,HADHB,colon,,,,ZNF84 IP 
GATA4,HADHB,stemcells,,,,"GATA4 IP - Rep 8 , GATA4 IP - Rep 9 , GATA4 IP - Rep 10 , GATA4 IP - Rep 11 "
JUN,HADHB,colon,,,,JUN IP 
MYC,HADHB,uterus,,,,MYC IP - HeLa cells
TCF7L2,HADHB,uterus,,,,TCF7L2 IP - HeLa cells
ZBTB7A,HADHB,liver,,,,ZBTB7A IP - HepG2 cells
TCF12,HADHB,cns,,,,TCF12 IP - SK-N-SH cells
CTCF,HADHB,placenta,,,,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 "
GATA6,HADHB,stomach,,,,GATA6 IP - AGS
FOXA2,HADHB,embryonictissue,,,,FOXA2 IP - Rep 2
GATA3,HADHB,cns,,,,GATA3 IP - SK-N-SH cells
EGR1,HADHB,stemcells,,,,EGR1 IP - H1 cells
ATF2,HADHB,colon,,,,ATF2 IP 
TBP,HADHB,uterus,,,,TBP IP - HeLa cells
CTCF,HADHB,stemcells,,,,"CTCF IP - H1 cells , CTCF IP - Rep 6 , CTCF IP - Rep 1 , CTCF IP - Rep 5 , CTCF IP - H1 cells"
MAX,HADHB,vasculature,,,,MAX IP - HUVEC cells
EGR1,HADHB,colon,,,,EGR1 IP - HCT116 cells
FOSL1,HADHB,colon,,,,FOSL1 IP - HCT116 cells
ELF1,HADHB,mammarygland,,,,ELF1 IP - MCF7 cells
SRF,HADHB,mammarygland,,,,SRF IP - MCF7 cells
MAZ,HADHB,lung,,,,MAZ IP - IMR cells
CTCF,HADHB,uterus,,,,CTCF IP - HeLa cells 
ELF1,HADHB,liver,,,,ELF1 IP - HepG2 cells
E2F4,HADHB,leukocytes,,,,E2F4 IP - GM12878 cells
EGR1,HADHB,leukocytes,,,,"EGR1 IP - GM12878 cells, Rep 1, EGR1 IP - K562 cells"
ATF3,HADHB,colon,,,,"ATF3 IP | CAMPTO, ATF3 IP - HCT116 cells"
MAX,HADHB,cns,,,,MAX IP - SK-N-SH cells
GATA3,HADHB,mammarygland,,,,GATA3 IP - MCF7 cells
REST,HADHB,lung,,,,REST IP - A549 cells
IRF1,HADHB,colon,,,,IRF1 IP 
SP1,HADHB,stemcells,,,,SP1 IP - H1 cells
POU2F1,HADHB,prostate,,,,POU2F1 KD + DHT | FOXA1 ChIP-Seq
GRHL1,HADHB,colon,,,,GRHL1 IP 
PBX3,HADHB,cns,,,,PBX3 IP - SK-N-SH cells
USF1,HADHB,stemcells,,,,USF1 IP - H1 cells
BARX1,HADHB,colon,,,,BARX1 IP - Rep 1 
MAZ,HADHB,leukocytes,,,,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
SP1,HADHB,liver,,,,SP1 IP - HepG2 cells
CTCF,HADHB,colon,,,,"CTCF IP - Caco , CTCF IP - HCT116 cells, CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 "
YY1,HADHB,stemcells,,,,"YY1 IP - H1 cells, YY1 IP - NT2 cells"
CTCF,HADHB,adiposetissue,,,,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0"
ZNF143,HADHB,colon,,,,ZNF143 IP 
HOXA4,HADHB,colon,,,,HOXA4 IP 
USF2,HADHB,leukocytes,,,,USF2 IP - GM12878 cells
STAT1,HADHB,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
IFNG,HADHB,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
ELF1,HADHB,colon,,,,ELF1 IP - HCT116 cells
CEBPB,HADHB,bone,,,,CEBPB IP
SP1,HADHB,lung,,,,SP1 IP - A549 cells
PBX3,HADHB,lung,,,,PBX3 IP - A549 cells
MEF2A,HADHB,leukocytes,,,,MEF2A IP - GM12878 cells
USF2,HADHB,uterus,,,,USF2 IP - HeLa cells
TCF7L2,HADHB,mammarygland,,,,TCF7L2 ChIP-Seq
HEY1,HADHB,liver,,,,HEY1 IP - HepG2 cells
FORSK,HADHB,liver,,,,CEBPB IP | FORSK - HepG2 cells
GATA2,HADHB,cns,,,,GATA2 ChIP-Seq SH-SY5Y
YY1,HADHB,uterus,,,,YY1 IP - ECC1 cells
STAT1,HADHB,leukocytes,,,,"STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2"
NFKB2,HADHB,leukocytes,,,,NFKB2 IP - Rep 2
TEAD4,HADHB,uterus,,,,TEAD4 IP - ECC1 cells
REST,HADHB,uterus,,,,"REST IP - SK-N-SH cells, REST IP - ECC1 cells"
IFNA1,HADHB,leukocytes,,,,"MYC IP | IFNA1 - K562 cells, 6 h"
ROSI,HADHB,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
FOSL2,HADHB,liver,,,,FOSL2 IP - HepG2 cells
BHLHE40,HADHB,liver,,,,BHLHE40 IP - HepG2 cells
POU2F2,HADHB,leukocytes,,,,POU2F2 IP - GM12878 cells
IRF1,HADHB,pancreas,,,,IRF1 IP
REST,HADHB,mammarygland,,,,REST IP - MCF7 cells
ZNF263,HADHB,kidney,,,,ZNF263 IP - HEK293 cells
TCF3,HADHB,leukocytes,,,,TCF3 IP - GM12878 cells
MAX,HADHB,colon,,,,MAX IP - HCT116 cells
MXI1,HADHB,cns,,,,MXI1 IP - SK-N-SH cells 
EBF1,HADHB,leukocytes,,,,EBF1 IP - GM12878 cells
ZNF83,HADHB,colon,,,,ZNF83 IP 
MTA3,HADHB,leukocytes,,,,MTA3 IP - GM12878 cells
KLF5,HADHB,stomach,,,,KLF5 IP - KATOIII
E2F3,HADHB,colon,,,,E2F3 IP 
UBTF,HADHB,leukocytes,,,,UBTF IP - K562 cells
USF2,HADHB,stemcells,,,,USF2 IP - H1 cells
RELA,HADHB,colon,,,,RELA IP 
GATA1,HADHB,hspcs,,,,"GATA1 IP - PBDE cells, Rep 1"
HMGN3,HADHB,leukocytes,,,,HMGN3 IP - K562 cells
YY1,HADHB,colon,,,,YY1 IP - HCT116 cells
FOXA2,HADHB,lung,,,,FOXA2 IP - A549 cells
CREB1,HADHB,stemcells,,,,CREB1 IP - H1 cells
RUNX1,HADHB,leukocytes,,,,RUNX1 IP
SP1,HADHB,leukocytes,,,,SP1 IP - GM12878 cells
JUND,HADHB,stemcells,,,,JUND IP - H1 cells
SIX5,HADHB,lung,,,,SIX5 IP | DEX - A549 cells
JUND,HADHB,lung,,,,JUND IP - A549 cells
REST,HADHB,colon,,,,REST IP - HCT116 cells
USF1,HADHB,uterus,,,,USF1 IP - ECC1 cells
PBX3,HADHB,leukocytes,,,,PBX3 IP - GM12878 cells
TCF12,HADHB,lung,,,,TCF12 IP - A549 cells
USF1,HADHB,colon,,,,USF1 IP - HCT116 cells
ARNTL,HADHB,bone,,,,ARNTL IP
ZBTB7A,HADHB,leukocytes,,,,ZBTB7A IP - SK-N-SH cells
CTCF,HADHB,pancreas,,,,CTCF IP
MXI1,HADHB,uterus,,,,MXI1 IP - HeLa cells
BCL3,HADHB,lung,,,,BCL3 IP - A549 cells
ZNF143,HADHB,leukocytes,,,,ZNF143 IP - GM12878 cells
TEAD4,HADHB,liver,,,,TEAD4 IP - HepG2 cells
MAZ,HADHB,uterus,,,,MAZ IP - HeLa cells
GTF2B,HADHB,uterus,,,,GTF2B IP - Rep 2
CTCF,HADHB,bone,,,,CTCF IP - Osteoblasts 
MYC,HADHB,lung,,,,MYC IP - A549 cells
TEAD4,HADHB,colon,,,,TEAD4 IP - HCT116 cells
SATB1,HADHB,liver,,,,SATB1 IP
TCF12,HADHB,leukocytes,,,,TCF12 IP - GM12878 cells
MXI1,HADHB,leukocytes,,,,MXI1 IP - GM12878 cells
FOXA1,HSD3B2,prostate,,,,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq"
R1881,HSD3B2,prostate,,,,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
PIAS1,HSD3B2,prostate,,,,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
CTCF,HSD3B2,stemcells,,,,"CTCF IP - H1 cells , CTCF IP - H1 cells"
FOXA2,HSD3B2,stemcells,,,,"FOXA2 IP - ES D2, FOXA2 IP - Rep 5 , FOXA2 IP - Rep 1 "
EOMES,HSD3B2,stemcells,,,,"EOMES IP - Rep 2 , EOMES IP - Rep 3 "
CEBPB,HSD3B2,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP"
CREB1,HSD3B2,prostate,,,,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2"
CTCF,HSD3B2,skin,,,,"CTCF IP - GM12878 cells, Rep 2 "
CTCF,HSD3B2,kidney,,,,"CTCF IP - HEK293 cells, Rep 1 "
CTCF,HSD3B2,mammarygland,,,,"CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells, Rep 1 "
FOXH1,HSD3B2,embryonictissue,,,,FOXH1 IP - endoderm
FOXA2,HSD3B2,embryonictissue,,,,"FOXA2 IP - Rep 1, FOXA2 IP - Rep 2"
FOXA1,HSD3B2,stemcells,,,,"FOXA1 IP - Rep 5 , FOXA1 IP - Rep 1 "
SPI1,HSD3B2,leukocytes,,,,SPI1 IP - HL cells
CTCF,HSD3B2,leukocytes,,,,"CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 2 "
MAFF,HSD3B2,liver,,,,MAFF IP - HepG2 cells
DHT,HSD3B2,prostate,,,,DHT | FOXA1 ChIP-Seq
MAFK,HSD3B2,liver,,,,"MAFK IP - HepG2 cells, Rep 2"
CTCF,HSD3B2,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 1 "
JUND,HTD2,liver,,,,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
